Rank	Taxon	Counts			
Kingdom	d__Bacteria	19068			
Phylum	p__Actinobacteriota	87			
Phylum	p__Eremiobacterota	2			
Phylum	p__Riflebacteria	4			
Phylum	p__Bacteroidota	2592			
Phylum	p__Campylobacterota	4			
Phylum	p__Cyanobacteria	172			
Phylum	p__UBA3054	1			
Phylum	p__Fibrobacterota	42			
Phylum	p__Deferribacterota	2			
Phylum	p__Proteobacteria	539			
Phylum	p__Chloroflexota	2			
Phylum	p__Chlamydiota	2			
Phylum	p__Desulfobacterota_I	22			
Phylum	p__Spirochaetota	245			
Phylum	p__Elusimicrobiota	95			
Phylum	p__Firmicutes	769			
Phylum	p__Firmicutes_A	13509			
Phylum	p__Armatimonadota	3			
Phylum	p__Firmicutes_B	37			
Phylum	p__Firmicutes_C	52			
Phylum	p__Planctomycetota	39			
Phylum	p__Patescibacteria	310			
Phylum	p__Desulfobacterota	2			
Phylum	p__Synergistota	10			
Phylum	p__Myxococcota	21			
Phylum	p__Verrucomicrobiota	505			
Class	c__Kiritimatiellae	150			
Class	c__Alphaproteobacteria	497			
Class	c__Coriobacteriia	61			
Class	c__Dehalobacteriia	10			
Class	c__Gammaproteobacteria	42			
Class	c__Verrucomicrobiae	176			
Class	c__Bacilli	769			
Class	c__Xenobia	2			
Class	c__Negativicutes	52			
Class	c__XYA12-FULL-58-9	2			
Class	c__Actinomycetia	26			
Class	c__Desulfarculia	1			
Class	c__Bradymonadia	17			
Class	c__Desulfobulbia	1			
Class	c__Microgenomatia	2			
Class	c__Lentisphaeria	179			
Class	c__Deferribacteres	2			
Class	c__UBA4802	1			
Class	c__UBA5829	3			
Class	c__Thermincolia	1			
Class	c__Planctomycetia	39			
Class	c__GWE2-31-10	3			
Class	c__Anaerolineae	2			
Class	c__UBA3054	1			
Class	c__JAEDAM01	5			
Class	c__Chlamydiia	2			
Class	c__Syntrophomonadia	2			
Class	c__Endomicrobia	3			
Class	c__Bacteroidia	2592			
Class	c__Elusimicrobia	92			
Class	c__Peptococcia	22			
Class	c__Desulfotomaculia	2			
Class	c__Synergistia	10			
Class	c__Desulfovibrionia	22			
Class	c__Vampirovibrionia	172			
Class	c__Myxococcia	2			
Class	c__Spirochaetia	241			
Class	c__Saccharimonadia	303			
Class	c__Ozemobacteria	4			
Class	c__Campylobacteria	4			
Class	c__Clostridia	13509			
Class	c__Fibrobacteria	42			
Order	o__DRI-13	1			
Order	o__UBA7976	1			
Order	o__UBA1212	53			
Order	o__RF32	221			
Order	o__Myxococcales	2			
Order	o__RGIG982	5			
Order	o__Pseudomonadales	16			
Order	o__UBA3830	7			
Order	o__Actinomycetales	24			
Order	o__RF39	260			
Order	o__UMGS1840	67			
Order	o__Deferribacterales	2			
Order	o__CADAEX01	5			
Order	o__Victivallales	172			
Order	o__Rickettsiales	1			
Order	o__UBA4248	16			
Order	o__Fibrobacterales	42			
Order	o__RFP12	149			
Order	o__Saccharimonadales	303			
Order	o__UMGS1883	213			
Order	o__Desulfovibrionales	22			
Order	o__Chlamydiales	2			
Order	o__UBA9339	1			
Order	o__Pirellulales	39			
Order	o__RFN20	116			
Order	o__Adiutricales	1			
Order	o__Elusimicrobiales	92			
Order	o__Selenomonadales	18			
Order	o__RUG12999	41			
Order	o__Propionibacteriales	1			
Order	o__Peptostreptococcales	204			
Order	o__	5			
Order	o__Rs-D84	259			
Order	o__Mycobacteriales	1			
Order	o__Clostridiales	9			
Order	o__Mycoplasmatales	25			
Order	o__Verrucomicrobiales	146			
Order	o__UBA3054	1			
Order	o__Bacillales_A	38			
Order	o__UBA4802	1			
Order	o__Bacillales_B	17			
Order	o__UBA5829	3			
Order	o__Paenibacillales	3			
Order	o__Caedimonadales	1			
Order	o__Peptococcales	21			
Order	o__Acidaminococcales	28			
Order	o__Sphingomonadales	2			
Order	o__HGM11514	22			
Order	o__RGIG8785	3			
Order	o__Desulfotomaculales	2			
Order	o__Synergistales	10			
Order	o__Enterobacterales	13			
Order	o__LD1-PB3	1			
Order	o__Acetobacterales	2			
Order	o__Treponematales	227			
Order	o__Sphingobacteriales	13			
Order	o__UMGS1810	190			
Order	o__ML615J-28	118			
Order	o__Lachnospirales	1681			
Order	o__HGM11327	8			
Order	o__Xenobiales	2			
Order	o__Christensenellales	1621			
Order	o__GWE2-31-10	3			
Order	o__TANB77	133			
Order	o__Lactobacillales	11			
Order	o__Oscillospirales	8408			
Order	o__Gastranaerophilales	172			
Order	o__Bacteroidales	2568			
Order	o__Campylobacterales	4			
Order	o__Flavobacteriales	10			
Order	o__Erysipelotrichales	143			
Order	o__Burkholderiales	12			
Order	o__Veillonellales	1			
Order	o__RGIG6154	60			
Order	o__Chitinophagales	1			
Order	o__Endomicrobiales	3			
Order	o__Acholeplasmatales	37			
Order	o__Absconditabacterales	5			
Order	o__Monoglobales	275			
