Rank	Taxon	Counts
Kingdom	Archaea	105
Phylum	p__Halobacteriota	14
Phylum	p__Methanobacteriota	70
Phylum	p__Thermoplasmatota	21
Class	c__Methanobacteria	70
Class	c__Methanomicrobia	13
Class	c__Methanosarcinia	1
Class	c__Thermoplasmata	21
Order	o__Methanobacteriales	70
Order	o__Methanomassiliicoccales	21
Order	o__Methanomicrobiales	13
Order	o__Methanosarcinales	1
Family	f__Methanobacteriaceae	70
Family	f__Methanocorpusculaceae	13
Family	f__Methanomethylophilaceae	21
Family	f__Methanosarcinaceae	1
Genus	Unclassified	3
Genus	g__Methanarcanum	2
Genus	g__Methanimicrococcus	1
Genus	g__Methanobrevibacter	14
Genus	g__Methanobrevibacter_A	46
Genus	g__Methanobrevibacter_B	1
Genus	g__Methanocorpusculum	13
Genus	g__Methanomethylophilus	2
Genus	g__Methanosphaera	9
Genus	g__SIG5	10
Genus	g__UBA71	4
Species	Unclassified	79
Species	s__Methanobrevibacter sp024409145	1
Species	s__Methanobrevibacter sp024409165	1
Species	s__Methanobrevibacter sp024409185	1
Species	s__Methanobrevibacter sp900314635	1
Species	s__Methanobrevibacter_A gottschalkii	1
Species	s__Methanobrevibacter_A millerae	1
Species	s__Methanobrevibacter_A millerae_A	1
Species	s__Methanobrevibacter_A sp017431965	1
Species	s__Methanobrevibacter_A sp017434525	1
Species	s__Methanobrevibacter_A sp024413395	1
Species	s__Methanobrevibacter_A sp902774605	1
Species	s__Methanobrevibacter_A sp902777885	1
Species	s__Methanobrevibacter_A sp904501935	1
Species	s__Methanobrevibacter_A thaueri_B	1
Species	s__Methanobrevibacter_B sp900314605	1
Species	s__Methanocorpusculum sp017387505	1
Species	s__Methanocorpusculum sp017399555	1
Species	s__Methanocorpusculum sp017408885	1
Species	s__Methanocorpusculum sp017555685	1
Species	s__Methanocorpusculum sp018065685	1
Species	s__Methanosphaera sp003266065	1
Species	s__Methanosphaera sp003266075	1
Species	s__Methanosphaera sp016282985	1
Species	s__SIG5 sp015063185	1
Species	s__SIG5 sp015063195	1
Species	s__UBA71 sp017935945	1
